Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
74720.000,77.181,75.948,74.278,74.988,26.652,29.070,27.797,26.766
75030.000,77.641,76.407,74.681,75.334,28.087,30.453,29.123,28.143
75340.000,78.093,76.919,75.165,75.650,29.428,31.852,30.556,29.622
75650.000,78.599,77.357,75.525,76.022,30.814,33.297,31.875,31.041
75960.000,79.111,77.782,75.950,76.509,32.193,34.717,33.409,32.436
76270.000,79.670,78.301,76.350,76.878,33.685,36.217,34.810,34.037
76580.000,80.174,78.792,76.908,77.309,35.094,37.642,36.336,35.422
76890.000,80.728,79.319,77.403,77.824,36.617,39.215,37.692,37.010
77200.000,81.359,79.889,77.779,78.239,38.087,40.760,39.325,38.691
77510.000,82.007,80.535,78.360,78.772,39.756,42.358,40.758,40.278
77820.000,82.691,81.118,78.897,79.217,41.211,43.896,42.359,41.724
78130.000,83.385,81.780,79.450,79.728,42.881,45.529,44.060,43.503
78440.000,83.969,82.451,79.851,80.292,44.407,47.117,45.627,45.132
78750.000,84.727,83.083,80.553,80.801,46.157,48.757,47.344,46.826
79060.000,85.452,83.729,80.941,81.322,47.802,50.441,49.073,48.643
79370.000,86.077,84.390,81.618,81.847,49.572,52.220,50.969,50.386
79680.000,86.761,85.053,82.240,82.480,51.255,53.985,52.672,52.386
79990.000,87.568,85.734,82.836,82.985,53.208,55.871,54.776,54.280
80300.000,88.381,86.464,83.447,83.712,55.125,57.803,56.599,56.363
80610.000,89.230,87.217,84.147,84.297,57.093,59.806,58.687,58.426
80920.000,90.008,88.008,84.912,85.001,59.075,61.889,60.886,60.644
81230.000,90.892,88.761,85.608,85.772,61.265,64.070,63.100,62.861
81540.000,91.850,89.594,86.355,86.598,63.413,66.307,65.486,65.226
81850.000,92.815,90.564,87.205,87.390,65.747,68.681,67.911,67.670
82160.000,93.909,91.434,88.124,88.245,68.167,71.050,70.459,70.261
82470.000,94.946,92.489,89.094,89.148,70.672,73.649,72.999,72.885
82780.000,95.994,93.508,90.044,90.051,73.283,76.246,75.849,75.769
83090.000,97.156,94.499,91.084,91.025,76.034,79.080,78.687,78.748
83400.000,98.484,95.621,92.144,92.265,79.094,82.103,81.862,81.876
83710.000,99.696,96.965,93.378,93.287,82.279,85.277,85.185,85.035
84020.000,101.279,98.163,94.740,94.614,85.633,88.708,88.693,88.601
84330.000,102.906,99.660,96.249,95.979,89.258,92.321,92.383,92.461
84640.000,104.745,101.384,97.847,97.862,93.154,96.196,96.350,96.629
84950.000,106.853,103.317,99.838,99.577,97.227,100.395,100.725,100.869
85260.000,109.241,105.611,102.068,101.921,101.589,104.751,105.173,105.361
85570.000,111.957,108.133,104.549,104.343,106.075,109.285,109.849,110.087
85880.000,115.064,111.005,107.414,107.225,110.875,114.145,114.760,115.218
86190.000,118.554,114.274,110.743,110.441,115.833,119.112,120.004,120.287
86500.000,122.493,117.753,114.515,114.061,121.002,124.412,125.489,125.787
86810.000,126.951,122.124,118.629,118.279,126.391,129.868,131.173,131.555
87120.000,131.967,126.714,123.884,123.225,132.123,135.462,137.174,137.679
87430.000,137.938,132.203,129.689,128.905,137.815,141.404,143.187,143.930
87740.000,144.657,138.380,136.412,135.354,143.901,147.759,149.282,150.167
88050.000,152.137,145.582,144.231,143.185,149.533,153.475,155.287,156.290
88360.000,161.127,153.677,153.110,151.759,155.217,159.554,160.562,161.791
88670.000,170.813,163.097,162.830,161.414,160.102,164.959,165.103,166.804
88980.000,181.221,173.081,173.138,171.767,164.509,169.758,168.828,170.673
