cruise,vessel_name,date,set,data_type_name,common_name,sequence_number,sample_weight,weight_unit_name,length_unit_name,comment,specimen_number,fish_length,length_type_name,standardLength_mm,forkLength_mm,weight_orig,weightg,sex,maturity
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,23,156,Standard length,156,167,52,52,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,24,130,Standard length,130,140,30,30,Male,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,25,139,Standard length,139,150,34,34,Male,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,26,144,Standard length,144,156,38,38,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,27,140,Standard length,140,153,36,36,Male,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,28,138,Standard length,138,149,31,31,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,29,136,Standard length,136,149,30,30,Male,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,30,139,Standard length,139,152,36,36,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,31,139,Standard length,139,151,35,35,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,32,134,Standard length,134,146,33,33,Male,1
