Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
45,045.111C,33.587946,-120.741274,Compulsory,S. CA Bight,-1433.4085693359375
46,046.1C,34.381524,-119.524591,Compulsory,S. CA Bight,-3.484407901763916
46,046.2C,33.746816,-120.818509,Compulsory,S. CA Bight,-1767.2305908203125
47,047.1C,34.401995,-119.882473,Compulsory,S. CA Bight,-18.58228302001953
47,047.2C,33.900369,-120.906718,Compulsory,S. CA Bight,-2256.75634765625
48,048.1C,34.464151,-120.156113,Compulsory,S. CA Bight,63.197998046875
48,048.2C,33.963941,-121.1791,Compulsory,S. CA Bight,-2412.0947265625
49,049.1C,34.490377,-120.504097,Compulsory,S. CA Bight,-27.39742088317871
49,049.2C,34.178938,-121.142048,Compulsory,S. CA Bight,-2152.312255859375
50,050.1C,34.620339,-120.640232,Compulsory,S. CA Bight,-16.927438735961914
50,050.2C,34.307085,-121.282939,Compulsory,S. CA Bight,-2097.923828125
51,051.1C,34.8254,-120.622344,Compulsory,Central CA,-16.79233169555664
51,051.2C,34.475958,-121.340464,Compulsory,Central CA,-1879.20361328125
52,052.1C,35.010142,-120.646087,Compulsory,Central CA,-20.64291763305664
52,052.2C,34.567381,-121.557465,Compulsory,Central CA,-1442.480712890625
53,053.1C,35.165357,-120.730652,Compulsory,Central CA,6.325992584228516
53,053.2C,34.686677,-121.717581,Compulsory,Central CA,-2573.634033203125
54,054.1C,35.282259,-120.894479,Compulsory,Central CA,-11.909733772277832
54,054.2C,34.846868,-121.793635,Compulsory,Central CA,-1523.067138671875
55,055.1C,35.444749,-120.96441,Compulsory,Central CA,-22.545940399169922
55,055.2C,35.051115,-121.778677,Compulsory,Central CA,-2016.037353515625
56,056.1C,35.5628,-121.12644,Compulsory,Central CA,-30.854005813598633
56,056.2C,35.211876,-121.85364,Compulsory,Central CA,-1824.4508056640625
57,057.1C,35.676251,-121.299105,Compulsory,Central CA,-26.426939010620117
57,057.2C,35.374087,-121.925709,Compulsory,Central CA,-2073.39013671875
58,058.1C,35.822752,-121.402354,Compulsory,Central CA,-37.61171340942383
58,058.2C,35.504295,-122.06442,Compulsory,Central CA,-1796.5306396484375
59,059.1C,35.973208,-121.498114,Compulsory,Central CA,-47.9156494140625
59,059.2C,35.656409,-122.157845,Compulsory,Central CA,-1782.8203125
60,060.1C,36.102073,-121.639097,Compulsory,Central CA,-45.51670455932617
60,060.2C,35.800871,-122.267413,Compulsory,Central CA,-2140.178466796875
61,061.1C,36.222574,-121.797899,Compulsory,Central CA,-8.699714660644531
61,061.2C,35.929102,-122.411131,Compulsory,Central CA,-3018.80517578125
62,062.1C,36.363862,-121.913592,Compulsory,Central CA,10.010421752929688
