long,lat
-127.8923192,50.31770364
-127.8911975,50.31829016
-127.8911541,50.31831183
-127.889989,50.31889439
-127.8888239,50.31947695
-127.8876588,50.32005951
-127.8874604,50.32015868
-127.8864936,50.32064206
-127.8853285,50.32122462
-127.8841634,50.32180718
-127.8829983,50.32138464
-127.8825079,50.32015868
-127.8818332,50.31847185
-127.88172,50.31829016
-127.8806681,50.31729293
-127.8796841,50.31642164
-127.8800993,50.31455312
-127.8805145,50.3126846
-127.8806681,50.3119937
-127.8809298,50.31081608
-127.881345,50.30894756
-127.8817602,50.30707904
-127.8818332,50.30675068
-127.8821754,50.30521052
-127.8825907,50.303342
-127.8829983,50.30150765
-127.8830128,50.30147348
-127.8829983,50.30135051
-127.8826749,50.29960496
-127.8818332,50.29909991
-127.8806681,50.29840084
-127.8795607,50.29773644
-127.879503,50.29770177
-127.8783378,50.2970027
-127.8771727,50.29630363
-127.8764465,50.29586792
-127.8760076,50.29560456
-127.8748425,50.29490549
-127.8736774,50.29420642
-127.873395,50.2939994
-127.8729167,50.29213088
-127.8729167,50.29026236
-127.8729167,50.28839384
-127.8729167,50.28652532
-127.8729167,50.2846568
-127.8727804,50.28278828
-127.8725123,50.28171567
-127.8723133,50.28091976
-127.8718461,50.27905124
-127.8713471,50.27793414
-127.8708996,50.27718272
-127.870182,50.27610636
-127.8696539,50.2753142
-127.8690169,50.27435869
-127.8684082,50.27344568
-127.8678518,50.27261101
-127.8671625,50.27157716
-127.8666867,50.27086334
-127.8666265,50.26970864
-127.8665291,50.26784012
-127.8655216,50.2662204
-127.8643564,50.26607172
-127.8635414,50.2659716
-127.8631913,50.26527153
-127.8626071,50.26410308
-127.8620262,50.26294129
-127.8616728,50.26223456
-127.8608611,50.26061106
-127.8607386,50.26036604
-127.8598043,50.25849752
-127.859696,50.25833886
-127.8585309,50.25752275
-127.8573657,50.25740741
-127.8562006,50.25740741
-127.8550355,50.25740741
-127.8538704,50.25740741
-127.8527053,50.25740741
-127.8515402,50.25740741
-127.850375,50.25740741
-127.8502409,50.256629
-127.8499188,50.25476048
-127.8495967,50.25289196
-127.8492747,50.25102344
-127.8492099,50.25091877
-127.8480448,50.25031944
-127.8468797,50.25009162
-127.8457146,50.2498638
-127.8445495,50.24963598
-127.8433843,50.24940816
-127.8422192,50.24918034
-127.8420892,50.24915492
-127.8422192,50.24889489
-127.8430235,50.2472864
-127.8433843,50.24656466
-127.8439577,50.24541788
-127.8445495,50.24423442
-127.844892,50.24354935
-127.8457146,50.24190419
-127.8458262,50.24168083
-127.8467605,50.23981231
-127.8468797,50.23957396
-127.8476948,50.23794379
-127.8480448,50.23724372
-127.848629,50.23607527
-127.8492099,50.23491349
-127.8495942,50.23420675
-127.8495873,50.23233823
-127.8492099,50.2309631
-127.8490455,50.23046971
-127.8484226,50.22860119
-127.8480448,50.22746775
-127.8477998,50.22673267
-127.8471769,50.22486415
-127.8468797,50.2239724
-127.8465541,50.22299563
-127.8459313,50.22112711
-127.8458333,50.21925859
-127.8458333,50.21739007
-127.8466922,50.21552155
-127.8468797,50.21527153
-127.8480448,50.21371804
-127.8480936,50.21365303
-127.8492099,50.21216455
-127.8494737,50.21178451
-127.850375,50.21048605
-127.8507171,50.20991599
-127.8515402,50.20854419
-127.8518382,50.20804747
-127.8527053,50.20660233
-127.8529593,50.20617895
-127.8538704,50.20466047
-127.8540804,50.20431043
-127.8550355,50.20271861
-127.8552015,50.20244191
-127.8562006,50.20077674
-127.8563226,50.20057339
-127.8573657,50.19938433
-127.8579618,50.19870487
-127.8585309,50.19813581
-127.859696,50.1969707
-127.8598303,50.19683635
-127.8608611,50.19580558
-127.8616988,50.19496783
-127.8620262,50.19464046
-127.8631913,50.19347535
-127.8635674,50.19309931
-127.8643564,50.19231023
-127.8654359,50.19123079
-127.8655216,50.19114511
-127.8666867,50.189952
-127.8669324,50.18936227
-127.8677109,50.18749375
-127.8678518,50.18715572
-127.8684895,50.18562523
-127.8690169,50.18435944
-127.869268,50.18375671
-127.8700466,50.18188819
-127.870182,50.18156316
-127.8708251,50.18001967
-127.8713471,50.17830701
-127.871405,50.17815115
-127.8714286,50.17628263
-127.8714286,50.17441411
-127.8714286,50.17254559
-127.8714286,50.17067707
-127.8714286,50.16880855
-127.8714286,50.16694003
-127.8725123,50.16687372
-127.8736774,50.16680242
-127.8748425,50.16673113
-127.8760076,50.16665983
-127.8771727,50.16658854
-127.8783378,50.16651724
-127.879503,50.16644595
-127.8806681,50.16637465
-127.8818332,50.16630336
-127.8829983,50.16623207
-127.8841634,50.16544373
-127.8844343,50.16507151
-127.8853285,50.16434512
-127.8863083,50.16320299
-127.8864936,50.16302597
-127.8876588,50.16228124
-127.888347,50.16133447
-127.8888239,50.16090275
-127.889989,50.16001518
-127.8904257,50.15946595
-127.8911541,50.15895373
-127.8921767,50.15759743
-127.8923192,50.15746123
-127.8934843,50.15693914
-127.8943934,50.15572891
-127.8946495,50.15551848
-127.8958146,50.15472392
-127.8965692,50.15386039
-127.8969797,50.15363084
-127.8981448,50.15211878
-127.8983225,50.15199187
-127.8993099,50.1517239
-127.9004665,50.15012335
-127.900475,50.15011576
-127.9016402,50.14930989
-127.9028053,50.14836904
-127.9029584,50.14825483
-127.9039704,50.14752522
-127.9051355,50.14668525
-127.9055502,50.14638631
-127.9063006,50.14584528
-127.9074657,50.14500531
-127.908142,50.14451779
-127.9086309,50.14416535
-127.909796,50.14332538
-127.9107338,50.14264926
-127.9109611,50.14248541
-127.9121262,50.14164544
-127.9132913,50.14080548
-127.9133256,50.14078074
-127.9144564,50.13996551
-127.9156216,50.13912554
-127.9159136,50.13891222
-127.9167867,50.13827441
-127.9179518,50.13732606
-127.9182987,50.1370437
-127.9191169,50.13637771
-127.920282,50.13542936
-127.9205943,50.13517518
-127.9214471,50.13447637
-127.9226123,50.13352168
-127.9228747,50.13330666
-127.9237774,50.13193298
-127.9241026,50.13143814
-127.9249425,50.13015997
-127.9253304,50.12956962
-127.9261076,50.12838697
-127.9265583,50.1277011
-127.9272727,50.12661397
-127.9277862,50.12583258
-127.9284378,50.12484096
-127.9290141,50.12396406
-127.929603,50.12306796
-127.930242,50.12209554
-127.9307681,50.12129496
-127.9314699,50.12022702
-127.9319332,50.11952195
-127.9326977,50.1183585
-127.9330983,50.1177244
-127.9335861,50.11648998
-127.9330983,50.11519033
-127.9329025,50.11462146
-127.9322592,50.11275294
-127.9319332,50.11180594
-127.9316159,50.11088442
-127.9309727,50.1090159
-127.9307681,50.10842156
-127.9303294,50.10714738
-127.9296862,50.10527886
-127.929603,50.10510311
-127.9284378,50.10395598
-127.9272727,50.10361827
-127.926344,50.10341034
-127.9261076,50.10335743
-127.9249425,50.10309658
-127.9237774,50.10283573
-127.9226123,50.10257488
-127.9214471,50.10231404
-127.920282,50.10205319
-127.9191169,50.10179234
-127.9179979,50.10154182
-127.9179518,50.10153267
-127.9167867,50.10129782
-127.9156216,50.10040833
-127.9144564,50.10031404
-127.9132913,50.1003802
-127.9121262,50.10044635
-127.9109611,50.10051251
-127.909796,50.10057867
-127.9086309,50.10064483
-127.9074657,50.10071098
-127.9063006,50.10077714
-127.9051355,50.1008433
-127.9039704,50.10090945
-127.9028053,50.10097561
-127.9016402,50.10104177
-127.900475,50.10110792
