FID_1,long,lat
180,-127.881833183318,50.3067506750675
181,-127.882175439766,50.3052105210521
182,-127.882590666474,50.3033420008668
183,-127.88299829983,50.3015076507651
184,-127.883012762372,50.3014734806814
185,-127.88299829983,50.3013505122583
186,-127.88267493416,50.2996049604961
187,-127.881833183318,50.299099909991
188,-127.880668066807,50.298400840084
189,-127.879560733851,50.2977364403107
190,-127.879502950295,50.297701770177
191,-127.878337833783,50.29700270027
192,-127.877172717272,50.296303630363
193,-127.876446533542,50.2958679201253
194,-127.87600760076,50.2956045604561
195,-127.874842484248,50.2949054905491
196,-127.873677367737,50.2942064206421
197,-127.873394956592,50.29399939994
198,-127.872916666667,50.2921308797546
199,-127.872916666667,50.2902623595693
200,-127.872916666667,50.2883938393839
201,-127.872916666667,50.2865253191986
202,-127.872916666667,50.2846567990132
203,-127.87278040304,50.2827882788279
204,-127.872512251225,50.2817156715671
205,-127.872313272994,50.2809197586425
206,-127.871846142948,50.2790512384572
207,-127.871347134713,50.2779341376474
208,-127.870899589959,50.2771827182718
209,-127.870182018202,50.276106360636
210,-127.869653909835,50.2753141980865
211,-127.86901690169,50.2743586858686
212,-127.868408229712,50.2734456779011
213,-127.867851785179,50.2726110111011
214,-127.867162549588,50.2715771577158
215,-127.866686668667,50.2708633363336
216,-127.86662649986,50.2697086375304
217,-127.866529135395,50.2678401173451
218,-127.865521552155,50.2662204027468
219,-127.864356435644,50.2660717202211
220,-127.863541354135,50.2659715971597
221,-127.863191319132,50.2652715271527
222,-127.862607094043,50.2641030769744
223,-127.86202620262,50.2629412941294
224,-127.86167283395,50.262234556789
225,-127.860861086109,50.2606110611061
226,-127.860738573857,50.2603660366037
227,-127.859804313765,50.2584975164183
228,-127.859695969597,50.2583388569643
229,-127.858530853085,50.2575227472673
230,-127.857365736574,50.2574074074074
231,-127.856200620062,50.2574074074074
232,-127.85503550355,50.2574074074074
233,-127.853870387039,50.2574074074074
234,-127.852705270527,50.2574074074074
235,-127.851540154015,50.2574074074074
236,-127.850375037504,50.2574074074074
237,-127.850240866188,50.256628996233
238,-127.849918797568,50.2547604760476
239,-127.849596728948,50.2528919558623
240,-127.849274660328,50.2510234356769
241,-127.849209920992,50.2509187688187
242,-127.84804480448,50.2503194406306
243,-127.846879687969,50.2500916200115
244,-127.845714571457,50.2498637993923
245,-127.844549454945,50.2496359787732
246,-127.843384338434,50.249408158154
247,-127.842219221922,50.2491803375349
248,-127.842089208921,50.2491549154916
249,-127.842219221922,50.248894889489
250,-127.843023469014,50.2472863953062
251,-127.843384338434,50.2465646564657
252,-127.843957729106,50.2454178751209
253,-127.844549454945,50.2442344234423
254,-127.844891989199,50.2435493549355
255,-127.845714571457,50.241904190419
256,-127.845826249292,50.2416808347501
257,-127.846760509384,50.2398123145648
258,-127.846879687969,50.2395739573957
259,-127.847694769477,50.2379437943794
260,-127.84804480448,50.2372437243724
261,-127.84862902957,50.2360752741941
262,-127.849209920992,50.2349134913491
263,-127.849594214575,50.2342067540087
264,-127.849587314444,50.2323382338234
265,-127.849209920992,50.2309630963096
266,-127.849045460102,50.230469713638
267,-127.84842262004,50.2286011934527
268,-127.84804480448,50.2274677467746
269,-127.847799779978,50.2267326732673
270,-127.847176939916,50.224864153082
271,-127.846879687969,50.2239723972397
272,-127.846554099854,50.2229956328966
273,-127.845931259793,50.2211271127113
274,-127.845833333333,50.2192585925259
275,-127.845833333333,50.2173900723406
276,-127.846692169217,50.2155215521552
277,-127.846879687969,50.2152715271527
278,-127.84804480448,50.2137180384705
279,-127.848093559356,50.2136530319699
280,-127.849209920992,50.2121645497883
281,-127.849473720957,50.2117845117845
282,-127.850375037504,50.2104860486049
283,-127.850717071707,50.2099159915992
284,-127.851540154015,50.2085441877521
285,-127.851838183818,50.2080474714138
286,-127.852705270527,50.2066023268993
287,-127.85295929593,50.2061789512285
288,-127.853870387039,50.2046604660466
289,-127.854080408041,50.2043104310431
290,-127.85503550355,50.2027186051938
291,-127.855201520152,50.2024419108578
292,-127.856200620062,50.2007767443411
293,-127.856322632263,50.2005733906724
294,-127.857365736574,50.1993843323726
295,-127.85796179618,50.198704870487
296,-127.858530853085,50.1981358135814
297,-127.859695969597,50.1969706970697
298,-127.859830316365,50.1968363503017
299,-127.860861086109,50.1958055805581
300,-127.86169883655,50.1949678301163
301,-127.86202620262,50.1946404640464
302,-127.863191319132,50.1934753475348
303,-127.863567356736,50.193099309931
304,-127.864356435644,50.1923102310231
305,-127.865435876921,50.1912307897456
306,-127.865521552155,50.1911451145115
307,-127.866686668667,50.1899519951996
308,-127.866932387683,50.1893622695603
309,-127.86771093776,50.1874937493749
310,-127.867851785179,50.1871557155716
311,-127.868489487838,50.1856252291896
312,-127.86901690169,50.1843594359436
313,-127.869268037915,50.1837567090042
314,-127.870046587992,50.1818881888189
315,-127.870182018202,50.1815631563157
316,-127.870825138069,50.1800196686335
317,-127.871347134713,50.1783070103759
318,-127.871405026599,50.1781511484482
319,-127.87142857142901,50.1762826282628
320,-127.87142857142901,50.1744141080775
321,-127.87142857142901,50.1725455878921
322,-127.87142857142901,50.1706770677068
323,-127.87142857142901,50.1688085475214
324,-127.87142857142901,50.1669400273361
325,-127.872512251225,50.1668737159825
326,-127.873677367737,50.1668024214421
327,-127.874842484248,50.1667311269017
328,-127.87600760076,50.1666598323614
329,-127.877172717272,50.166588537821
330,-127.878337833783,50.1665172432807
331,-127.879502950295,50.1664459487403
332,-127.880668066807,50.1663746541999
333,-127.881833183318,50.1663033596596
334,-127.88299829983,50.1662320651192
335,-127.884163416342,50.1654437273388
336,-127.884434346293,50.1650715071507
337,-127.885328532853,50.1643451167789
338,-127.886308331354,50.1632029869654
339,-127.886493649365,50.1630259667758
340,-127.887658765877,50.1622812355134
341,-127.888347015798,50.16133446678
342,-127.888823882388,50.1609027535365
343,-127.8899889989,50.1600151788471
344,-127.890425733378,50.1594659465947
345,-127.891154115412,50.1589537263087
346,-127.892176652561,50.1575974264093
347,-127.892319231923,50.1574612311978
348,-127.893484348435,50.1569391410873
349,-127.894393369705,50.155728906224
350,-127.894649464946,50.1555184777568
351,-127.895814581458,50.1547239247578
352,-127.896569220114,50.1538603860386
353,-127.89697969797,50.1536308430762
354,-127.898144814481,50.152118783306904
355,-127.898322498917,50.1519918658533
356,-127.899309930993,50.1517238961567
357,-127.900466548572,50.1501233456679
358,-127.900475047505,50.1501157630981
359,-127.901640164016,50.1493098922089
360,-127.902805280528,50.1483690429161
361,-127.902958360352,50.1482548254826
362,-127.90397039704,50.147525217638
363,-127.905135513551,50.1466852499204
364,-127.905550178674,50.1463863052972
365,-127.906300630063,50.1458452822026
366,-127.907465746575,50.1450053144849
367,-127.908141996995,50.1445177851118
368,-127.908630863086,50.1441653467672
369,-127.909795979598,50.1433253790495
370,-127.910733815317,50.1426492649265
371,-127.91096109611,50.1424854113318
372,-127.912126212621,50.1416454436141
373,-127.913291329133,50.1408054758964
374,-127.913325633639,50.1407807447411
375,-127.914456445645,50.1399655081787
376,-127.915621562156,50.139125540461
377,-127.915913570908,50.1389122245558
378,-127.916786678668,50.1382744088362
379,-127.91795179518,50.1373260581872
380,-127.918298687012,50.1370437043704
381,-127.919116911691,50.1363777075382
382,-127.920282028203,50.1354293568892
383,-127.920594297525,50.1351751841851
384,-127.921447144714,50.1344763670792
385,-127.922612261226,50.1335216786442
386,-127.922874668419,50.1333066639997
387,-127.923777377738,50.1319329759063
388,-127.924102553112,50.1314381438144
389,-127.924942494249,50.130159972519
390,-127.925330437806,50.129569623629
391,-127.926107610761,50.1283869691317
392,-127.926558322499,50.1277011034437
