order_,name,long,lat
49292,mainland,-117.152893021,32.6476097743
49293,mainland,-117.153716971,32.6492805564
49294,mainland,-117.15532685,32.6507186398
49295,mainland,-117.156776374,32.6525612166
49296,mainland,-117.157028259,32.6535796683
49297,mainland,-117.157440146,32.6540299273
49298,mainland,-117.157783561,32.6548882007
49299,mainland,-117.159233085,32.6562194393
49300,mainland,-117.159606952,32.6573104113
49301,mainland,-117.161636285,32.6598091902
49302,mainland,-117.161712678,32.6607818772
49303,mainland,-117.163696247,32.6626702188
49304,mainland,-117.164382901,32.6644400998
49305,mainland,-117.166000349,32.664970448
49306,mainland,-117.166748081,32.6659392616
49307,mainland,-117.166946456,32.6670304099
49308,mainland,-117.168777416,32.6677207601
49309,mainland,-117.169433618,32.6692505492
49310,mainland,-117.17510991,32.6748085564
49311,mainland,-117.17568972,32.6747513496
49312,mainland,-117.180999714,32.6800002652
49313,mainland,-117.180862418,32.6819382449
49314,mainland,-117.182037352,32.682529496
49315,mainland,-117.183296246,32.682578957
49316,mainland,-117.183822547,32.683029216
49317,mainland,-117.185058559,32.6832198462
49318,mainland,-117.185752781,32.6839408237
49319,mainland,-117.186889694,32.684188836
49320,mainland,-117.18736266,32.6849212547
49321,mainland,-117.188186609,32.6848601764
49322,mainland,-117.18900299,32.6856117812
49323,mainland,-117.189903332,32.6856117812
49324,mainland,-117.19040675,32.6863098763
49325,mainland,-117.190963676,32.6865311338
49326,mainland,-117.191497721,32.6864700545
49327,mainland,-117.192367612,32.687221484
49328,mainland,-117.194206316,32.6874999474
49329,mainland,-117.19489297,32.6881714639
49330,mainland,-117.195922863,32.6880607475
49331,mainland,-117.196533124,32.6890791991
49332,mainland,-117.206466635,32.6891402775
49333,mainland,-117.207496704,32.6882781316
49334,mainland,-117.209243702,32.6883316422
49335,mainland,-117.210533224,32.6874198582
49336,mainland,-117.213096603,32.6874694963
49337,mainland,-117.213707041,32.6867789699
49338,mainland,-117.214393694,32.6866112229
49339,mainland,-117.216308616,32.6866112229
49340,mainland,-117.217712375,32.6858596172
49341,mainland,-117.219093251,32.6857184497
49342,mainland,-117.220207282,32.6848908037
49343,mainland,-117.220832857,32.6850013438
49344,mainland,-117.223419118,32.6830786778
49345,mainland,-117.224372794,32.6833113765
49346,mainland,-117.225112958,32.6839980305
49347,mainland,-117.225311333,32.6849212547
49348,mainland,-117.225967359,32.6851386397
49349,mainland,-117.228362991,32.6872482388
49644,mainland,-117.233718927,32.686859059
49645,mainland,-117.233436591,32.6860618649
49646,mainland,-117.233963067,32.6851386397
49647,mainland,-117.235816908,32.6837501944
49648,mainland,-117.236053479,32.6827201253
